"number","GSM","file","url"
50,"GSM14249122","[GSM1424912_Dmel-H3K9ac-c8.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424912/suppl/GSM1424912_Dmel-H3K9ac-c8.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424912/suppl/GSM1424912_Dmel-H3K9ac-c8.wig.gz"
51,"GSM14249131","[GSM1424913_Dmel-H3K9ac-c12-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424913/suppl/GSM1424913_Dmel-H3K9ac-c12-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424913/suppl/GSM1424913_Dmel-H3K9ac-c12-peaks.xls.gz"
52,"GSM14249132","[GSM1424913_Dmel-H3K9ac-c12.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424913/suppl/GSM1424913_Dmel-H3K9ac-c12.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424913/suppl/GSM1424913_Dmel-H3K9ac-c12.wig.gz"
53,"GSM14249141","[GSM1424914_Dmel-H3K9ac-c14a-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424914/suppl/GSM1424914_Dmel-H3K9ac-c14a-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424914/suppl/GSM1424914_Dmel-H3K9ac-c14a-peaks.xls.gz"
54,"GSM14249142","[GSM1424914_Dmel-H3K9ac-c14a.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424914/suppl/GSM1424914_Dmel-H3K9ac-c14a.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424914/suppl/GSM1424914_Dmel-H3K9ac-c14a.wig.gz"
55,"GSM14249151","[GSM1424915_Dmel-H3K9ac-c14c-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424915/suppl/GSM1424915_Dmel-H3K9ac-c14c-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424915/suppl/GSM1424915_Dmel-H3K9ac-c14c-peaks.xls.gz"
56,"GSM14249152","[GSM1424915_Dmel-H3K9ac-c14c.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424915/suppl/GSM1424915_Dmel-H3K9ac-c14c.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424915/suppl/GSM1424915_Dmel-H3K9ac-c14c.wig.gz"
57,"GSM14249161","[GSM1424916_Dmel-H3K27me3-c12-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424916/suppl/GSM1424916_Dmel-H3K27me3-c12-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424916/suppl/GSM1424916_Dmel-H3K27me3-c12-peaks.xls.gz"
58,"GSM14249162","[GSM1424916_Dmel-H3K27me3-c12.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424916/suppl/GSM1424916_Dmel-H3K27me3-c12.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424916/suppl/GSM1424916_Dmel-H3K27me3-c12.wig.gz"
59,"GSM14249171","[GSM1424917_Dmel-H3K27me3-c14a-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424917/suppl/GSM1424917_Dmel-H3K27me3-c14a-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424917/suppl/GSM1424917_Dmel-H3K27me3-c14a-peaks.xls.gz"
