"number","GSM","file","url"
55,"GSM22197331","[GSM2219733_ssm_NC13.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219733/suppl/GSM2219733_ssm_NC13.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219733/suppl/GSM2219733_ssm_NC13.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
56,"GSM22197332","[GSM2219733_ssm_NC13.09_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219733/suppl/GSM2219733_ssm_NC13.09_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219733/suppl/GSM2219733_ssm_NC13.09_all.peaks.nucmap_combined.bed.gz"
57,"GSM22197333","[GSM2219733_ssm_NC13_09_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219733/suppl/GSM2219733_ssm_NC13_09_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219733/suppl/GSM2219733_ssm_NC13_09_open.wig.gz"
58,"GSM22197361","[GSM2219736_ssm_NC13.12_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219736/suppl/GSM2219736_ssm_NC13.12_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219736/suppl/GSM2219736_ssm_NC13.12_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
59,"GSM22197362","[GSM2219736_ssm_NC13.12_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219736/suppl/GSM2219736_ssm_NC13.12_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219736/suppl/GSM2219736_ssm_NC13.12_all.peaks.nucmap_combined.bed.gz"
60,"GSM22197363","[GSM2219736_ssm_NC13_12_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219736/suppl/GSM2219736_ssm_NC13_12_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219736/suppl/GSM2219736_ssm_NC13_12_open.wig.gz"
61,"GSM22197391","[GSM2219739_ssm_NC14.03_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219739/suppl/GSM2219739_ssm_NC14.03_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219739/suppl/GSM2219739_ssm_NC14.03_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
62,"GSM22197392","[GSM2219739_ssm_NC14.03_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219739/suppl/GSM2219739_ssm_NC14.03_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219739/suppl/GSM2219739_ssm_NC14.03_all.peaks.nucmap_combined.bed.gz"
63,"GSM22197393","[GSM2219739_ssm_NC14_03_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219739/suppl/GSM2219739_ssm_NC14_03_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219739/suppl/GSM2219739_ssm_NC14_03_open.wig.gz"
64,"GSM22197431","[GSM2219743_ssm_NC14.06_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219743/suppl/GSM2219743_ssm_NC14.06_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219743/suppl/GSM2219743_ssm_NC14.06_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
